X	Edge	Bias	Value	Uncertainty	Exception
-2.356194490192345e+00	1.414200000000000e+00	4.469715354833607e-01	-2.601352457031869e-01	6.575177974343679e-01	Type.NotPositiveException
-2.307107104980005e+00	1.579300000000000e+00	5.280467681836861e-01	-2.129043571712729e-01	6.745412220048066e-01	Type.NotPositiveException
-2.258019719767664e+00	1.460500000000000e+00	5.069393283698966e-01	-2.660711249928405e-01	6.561824515781672e-01	Type.NotPositiveException
-2.208932334555323e+00	1.361300000000000e+00	4.852096495262507e-01	-3.179978819543943e-01	6.343842753422061e-01	Type.NotPositiveException
-2.159844949342983e+00	1.274500000000000e+00	4.623872859863437e-01	-3.690823263162018e-01	6.092676229925347e-01	Type.NotPositiveException
-2.110757564130642e+00	1.214900000000000e+00	4.476713668965734e-01	-4.100572431036987e-01	5.866559870556569e-01	Type.NotPositiveException
-2.061670178918302e+00	1.169600000000000e+00	4.369005838884365e-01	-4.450206804599186e-01	5.656558002127237e-01	Type.NotPositiveException
-2.012582793705961e+00	1.133400000000000e+00	4.284165531362693e-01	-4.755727399871741e-01	5.460101650056094e-01	Type.NotPositiveException
-1.963495408493621e+00	1.103600000000000e+00	4.213696098318482e-01	-5.025099226794385e-01	5.276623687202352e-01	Type.NotPositiveException
-1.914408023281280e+00	1.078500000000000e+00	4.152078106928766e-01	-5.263362544901442e-01	5.106017238361915e-01	Type.NotPositiveException
-1.865320638068940e+00	1.057500000000000e+00	4.098640600165154e-01	-5.470762757156935e-01	4.950923972996019e-01	Type.NotPositiveException
-1.816233252856599e+00	1.040000000000000e+00	4.051990693570476e-01	-5.648321838374963e-01	4.813068410821798e-01	Type.NotPositiveException
-1.767145867644259e+00	1.025800000000000e+00	4.012531164226052e-01	-5.795321639806252e-01	4.695259054951563e-01	Type.NotPositiveException
-1.718058482431918e+00	1.014700000000000e+00	3.980292180627048e-01	-5.911472919020763e-01	4.599728662213688e-01	Type.NotPositiveException
-1.668971097219578e+00	1.006700000000000e+00	3.956185068010112e-01	-5.995662198711857e-01	4.529098944299065e-01	Type.NotPositiveException
-1.619883712007237e+00	1.001900000000000e+00	3.941460966255851e-01	-6.046493595795873e-01	4.485878457177658e-01	Type.NotPositiveException
-1.570796326794897e+00	1.000300000000000e+00	3.936509836130959e-01	-6.063490163869041e-01	4.471328587083673e-01	Type.NotPositiveException
-1.521708941582556e+00	1.001900000000000e+00	3.941460966255851e-01	-6.046493595795873e-01	4.485878457177658e-01	Type.NotPositiveException
-1.472621556370215e+00	1.006700000000000e+00	3.956185068010112e-01	-5.995662198711856e-01	4.529098944299067e-01	Type.NotPositiveException
-1.423534171157875e+00	1.014700000000000e+00	3.980292180627048e-01	-5.911472919020763e-01	4.599728662213687e-01	Type.NotPositiveException
-1.374446785945535e+00	1.025800000000000e+00	4.012531164226052e-01	-5.795321639806252e-01	4.695259054951565e-01	Type.NotPositiveException
-1.325359400733194e+00	1.040000000000000e+00	4.051990693570476e-01	-5.648321838374963e-01	4.813068410821797e-01	Type.NotPositiveException
-1.276272015520854e+00	1.057500000000000e+00	4.098640600165154e-01	-5.470762757156935e-01	4.950923972996019e-01	Type.NotPositiveException
-1.227184630308513e+00	1.078500000000000e+00	4.152078106928766e-01	-5.263362544901442e-01	5.106017238361915e-01	Type.NotPositiveException
-1.178097245096172e+00	1.103600000000000e+00	4.213696098318482e-01	-5.025099226794385e-01	5.276623687202351e-01	Type.NotPositiveException
-1.129009859883832e+00	1.133400000000000e+00	4.284165531362691e-01	-4.755727399871742e-01	5.460101650056092e-01	Type.NotPositiveException
-1.079922474671491e+00	1.169600000000000e+00	4.369005838884365e-01	-4.450206804599184e-01	5.656558002127233e-01	Type.NotPositiveException
-1.030835089459151e+00	1.214900000000000e+00	4.476713668965734e-01	-4.100572431036987e-01	5.866559870556569e-01	Type.NotPositiveException
-9.817477042468103e-01	1.274500000000000e+00	4.623872859863435e-01	-3.690823263162017e-01	6.092676229925348e-01	Type.NotPositiveException
-9.326603190344698e-01	1.361300000000000e+00	4.852096495262506e-01	-3.179978819543942e-01	6.343842753422068e-01	Type.NotPositiveException
-8.835729338221293e-01	1.460500000000000e+00	5.069393283698965e-01	-2.660711249928405e-01	6.561824515781676e-01	Type.NotPositiveException
-8.344855486097889e-01	1.579300000000000e+00	5.280467681836862e-01	-2.129043571712729e-01	6.745412220048087e-01	Type.NotPositiveException
-7.853981633974483e-01	1.414200000000000e+00	4.469715354833606e-01	-2.601352457031869e-01	6.575177974343680e-01	Type.NotPositiveException
-7.363107781851077e-01	1.302700000000000e+00	3.840976269004305e-01	-2.874613279465879e-01	6.447640210698980e-01	Type.NotPositiveException
-6.872233929727672e-01	1.227900000000000e+00	3.358843351745235e-01	-2.985089489891220e-01	6.372679959584626e-01	Type.NotPositiveException
-6.381360077604268e-01	1.174500000000000e+00	2.968286344358290e-01	-2.988706700566043e-01	6.336244064808024e-01	Type.NotPositiveException
-5.890486225480862e-01	1.134600000000000e+00	2.636920422354355e-01	-2.918781907841667e-01	6.326376125767904e-01	Type.NotPositiveException
-5.399612373357456e-01	1.104100000000000e+00	2.346299613344349e-01	-2.794727828587867e-01	6.334915928954301e-01	Type.NotPositiveException
-4.908738521234052e-01	1.080100000000000e+00	2.083340626181630e-01	-2.630626742078346e-01	6.354980721511553e-01	Type.NotPositiveException
-4.417864669110647e-01	1.061100000000000e+00	1.840551150349739e-01	-2.434999783953082e-01	6.382300824905772e-01	Type.NotPositiveException
-3.926990816987241e-01	1.045900000000000e+00	1.612205389984077e-01	-2.214628933666821e-01	6.413258151330550e-01	Type.NotPositiveException
-3.436116964863836e-01	1.033600000000000e+00	1.394188112745109e-01	-1.974710421177092e-01	6.444986131480155e-01	Type.NotPositiveException
-2.945243112740431e-01	1.023800000000000e+00	1.184076434635198e-01	-1.718770337909426e-01	6.475812913217471e-01	Type.NotPositiveException
-2.454369260617026e-01	1.016100000000000e+00	9.797771624170176e-02	-1.450024636615621e-01	6.504210094222873e-01	Type.NotPositiveException
-1.963495408493621e-01	1.010100000000000e+00	7.795707847432710e-02	-1.171332435418011e-01	6.528784341843961e-01	Type.NotPositiveException
-1.472621556370216e-01	1.005600000000000e+00	5.823227401181640e-02	-8.849820044354535e-02	6.548679954061706e-01	Type.NotPositiveException
-9.817477042468103e-02	1.002400000000000e+00	3.870938980217118e-02	-5.930775052738942e-02	6.563151432063786e-01	Type.NotPositiveException
-4.908738521234052e-02	1.000600000000000e+00	1.932446661353165e-02	-2.974320771388636e-02	6.572172927374534e-01	Type.NotPositiveException
0.000000000000000e+00	1.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	6.575195142940906e-01	Type.NotPositiveException
4.908738521234052e-02	1.000600000000000e+00	-1.932446661353165e-02	2.974320771388636e-02	6.572172927374534e-01	Type.NotPositiveException
9.817477042468103e-02	1.002400000000000e+00	-3.870938980217118e-02	5.930775052738942e-02	6.563151432063786e-01	Type.NotPositiveException
1.472621556370216e-01	1.005600000000000e+00	-5.823227401181640e-02	8.849820044354535e-02	6.548679954061706e-01	Type.NotPositiveException
1.963495408493621e-01	1.010100000000000e+00	-7.795707847432710e-02	1.171332435418011e-01	6.528784341843961e-01	Type.NotPositiveException
2.454369260617026e-01	1.016100000000000e+00	-9.797771624170176e-02	1.450024636615621e-01	6.504210094222873e-01	Type.NotPositiveException
2.945243112740431e-01	1.023800000000000e+00	-1.184076434635198e-01	1.718770337909426e-01	6.475812913217471e-01	Type.NotPositiveException
3.436116964863836e-01	1.033600000000000e+00	-1.394188112745109e-01	1.974710421177092e-01	6.444986131480155e-01	Type.NotPositiveException
3.926990816987241e-01	1.045900000000000e+00	-1.612205389984077e-01	2.214628933666821e-01	6.413258151330550e-01	Type.NotPositiveException
4.417864669110647e-01	1.061100000000000e+00	-1.840551150349739e-01	2.434999783953082e-01	6.382300824905772e-01	Type.NotPositiveException
4.908738521234052e-01	1.080100000000000e+00	-2.083340626181630e-01	2.630626742078346e-01	6.354980721511553e-01	Type.NotPositiveException
