X	Edge	Bias	Value	Uncertainty	Exception
0.196349540849362	1.0101	-0.077957078474327	0.117133243541801	0.652878434184396	NotPositiveException
0.245436926061703	1.0161	-0.0979777162417017	0.145002463661562	0.650421009422287	NotPositiveException
0.294524311274043	1.0238	-0.11840764346352	0.171877033790943	0.647581291321747	NotPositiveException
0.343611696486384	1.0336	-0.139418811274511	0.197471042117709	0.644498613148015	NotPositiveException
0.392699081698724	1.0459	-0.161220538998408	0.221462893366682	0.641325815133055	NotPositiveException
0.441786466911065	1.0611	-0.184055115034974	0.243499978395308	0.638230082490577	NotPositiveException
0.490873852123405	1.0801	-0.208334062618163	0.263062674207835	0.635498072151155	NotPositiveException
0.539961237335746	1.1041	-0.234629961334435	0.279472782858787	0.63349159289543	NotPositiveException
0.589048622548086	1.1346	-0.263692042235435	0.291878190784167	0.63263761257679	NotPositiveException
0.638136007760427	1.1745	-0.296828634435829	0.298870670056605	0.633624406480803	NotPositiveException
0.687223392972767	1.2279	-0.335884335174523	0.298508948989122	0.637267995958462	NotPositiveException
0.736310778185108	1.3027	-0.38409762690043	0.287461327946588	0.644764021069898	NotPositiveException
0.785398163397448	1.4142	-0.44697153548336	0.260135245703187	0.657517797434368	NotPositiveException
0.834485548609789	1.5793	-0.528046768183686	0.212904357171273	0.674541222004808	NotPositiveException
0.883572933822129	1.4605	-0.506939328369896	0.266071124992841	0.656182451578168	NotPositiveException
0.93266031903447	1.3613	-0.48520964952625	0.317997881954394	0.634384275342207	NotPositiveException
0.98174770424681	1.2745	-0.462387285986343	0.369082326316202	0.609267622992535	NotPositiveException
1.03083508945915	1.2149	-0.447671366896573	0.410057243103699	0.586655987055657	NotPositiveException
1.07992247467149	1.1696	-0.436900583888436	0.445020680459919	0.565655800212723	NotPositiveException
1.12900985988383	1.1334	-0.428416553136269	0.475572739987175	0.546010165005609	NotPositiveException
1.17809724509617	1.1036	-0.421369609831848	0.502509922679439	0.527662368720235	NotPositiveException
1.22718463030851	1.0785	-0.415207810692876	0.526336254490145	0.510601723836192	NotPositiveException
1.27627201552085	1.0575	-0.409864060016515	0.547076275715694	0.495092397299602	NotPositiveException
1.32535940073319	1.04	-0.405199069357047	0.564832183837497	0.48130684108218	NotPositiveException
1.37444678594553	1.0258	-0.401253116422605	0.579532163980625	0.469525905495157	NotPositiveException
1.42353417115788	1.0147	-0.398029218062704	0.591147291902077	0.459972866221369	NotPositiveException
1.47262155637022	1.0067	-0.395618506801011	0.599566219871186	0.452909894429907	NotPositiveException
1.52170894158256	1.0019	-0.394146096625585	0.604649359579588	0.448587845717766	NotPositiveException
1.5707963267949	1.0003	-0.393650983613096	0.606349016386904	0.447132858708367	NotPositiveException
1.61988371200724	1.0019	-0.394146096625585	0.604649359579588	0.448587845717766	NotPositiveException
1.66897109721958	1.0067	-0.395618506801011	0.599566219871186	0.452909894429906	NotPositiveException
1.71805848243192	1.0147	-0.398029218062704	0.591147291902077	0.459972866221369	NotPositiveException
1.76714586764426	1.0258	-0.401253116422605	0.579532163980625	0.469525905495156	NotPositiveException
1.8162332528566	1.04	-0.405199069357047	0.564832183837497	0.48130684108218	NotPositiveException
1.86532063806894	1.0575	-0.409864060016515	0.547076275715694	0.495092397299602	NotPositiveException
1.91440802328128	1.0785	-0.415207810692876	0.526336254490145	0.510601723836192	NotPositiveException
1.96349540849362	1.1036	-0.421369609831848	0.502509922679439	0.527662368720235	NotPositiveException
2.01258279370596	1.1334	-0.428416553136269	0.475572739987175	0.546010165005609	NotPositiveException
2.0616701789183	1.1696	-0.436900583888436	0.445020680459919	0.565655800212724	NotPositiveException
2.11075756413064	1.2149	-0.447671366896573	0.410057243103699	0.586655987055657	NotPositiveException
2.15984494934298	1.2745	-0.462387285986343	0.369082326316202	0.609267622992535	NotPositiveException
2.20893233455532	1.3613	-0.48520964952625	0.317997881954395	0.634384275342206	NotPositiveException
2.25801971976766	1.4605	-0.506939328369896	0.266071124992841	0.656182451578168	NotPositiveException
2.30710710498	1.5793	-0.528046768183686	0.212904357171273	0.674541222004807	NotPositiveException
2.35619449019234	1.4142	-0.44697153548336	0.260135245703187	0.657517797434368	NotPositiveException
2.40528187540469	1.3027	-0.38409762690043	0.287461327946588	0.644764021069898	NotPositiveException
2.45436926061703	1.2279	-0.335884335174523	0.298508948989122	0.637267995958462	NotPositiveException
2.50345664582937	1.1745	-0.296828634435829	0.298870670056605	0.633624406480802	NotPositiveException
2.55254403104171	1.1346	-0.263692042235435	0.291878190784167	0.63263761257679	NotPositiveException
2.60163141625405	1.1041	-0.234629961334435	0.279472782858787	0.63349159289543	NotPositiveException
2.65071880146639	1.0801	-0.208334062618163	0.263062674207835	0.635498072151155	NotPositiveException
2.69980618667873	1.0611	-0.184055115034974	0.243499978395308	0.638230082490577	NotPositiveException
2.74889357189107	1.0459	-0.161220538998408	0.221462893366682	0.641325815133055	NotPositiveException
2.79798095710341	1.0336	-0.139418811274511	0.197471042117709	0.644498613148015	NotPositiveException
2.84706834231575	1.0238	-0.11840764346352	0.171877033790943	0.647581291321747	NotPositiveException
2.89615572752809	1.0161	-0.0979777162417018	0.145002463661562	0.650421009422287	NotPositiveException
2.94524311274043	1.0101	-0.0779570784743272	0.117133243541801	0.652878434184396	NotPositiveException
2.99433049795277	1.0056	-0.0582322740118164	0.0884982004435454	0.65486799540617	NotPositiveException
3.04341788316511	1.0024	-0.0387093898021712	0.0593077505273896	0.656315143206378	NotPositiveException
3.09250526837745	1.0006	-0.0193244666135316	0.0297432077138863	0.657217292737453	NotPositiveException
3.14159265358979	1	-4.81844666384973e-17	7.42761687437404e-17	0.65751951429409	NotPositiveException
